ring_id,species,wing_length_mm,weight_g,fat_score,date,sex
AX-77264,Amsel,126.6,108.8,1,2024-08-08,M
AX-44859,Amsel,130.4,102.6,0,2024-08-08,M
AX-76248,Blaumeise,60.1,11.0,1,2024-08-08,F
AX-12003,Blaumeise,60.7,10.6,2,2024-08-08,U
AX-66794,Kohlmeise,75.3,18.4,1,2024-08-11,F
AX-54981,Kohlmeise,73.5,19.0,3,2024-08-11,M
AX-78461,Amsel,132.0,104.9,4,2024-08-11,F
AX-85392,Kohlmeise,73.6,18.5,4,2024-08-11,U
AX-95316,Blaumeise,60.2,11.2,1,2024-08-11,F
AX-93859,Kohlmeise,73.3,17.3,4,2024-08-11,F
AX-78772,Kohlmeise,73.9,16.7,0,2024-08-11,M
AX-12386,Kohlmeise,73.5,16.9,0,2024-08-11,F
AX-28159,Blaumeise,62.5,11.2,0,2024-08-11,F
AX-82668,Amsel,125.1,102.1,3,2024-08-11,M
AX-32687,Amsel,136.9,98.7,5,2024-08-11,M
AX-69744,Blaumeise,60.4,12.4,5,2024-08-11,U
AX-35312,Kohlmeise,72.7,19.4,2,2024-08-11,U
AX-83150,Kohlmeise,76.1,19.8,0,2024-08-11,M
AX-39836,Kohlmeise,72.3,16.6,1,2024-08-11,U
AX-73562,Kohlmeise,73.8,20.9,3,2024-08-11,M
AX-63451,Amsel,126.7,96.1,1,2024-08-11,M
AX-69555,Blaumeise,61.1,9.8,3,2024-08-11,F
AX-64117,Amsel,123.5,114.6,5,2024-08-11,F
AX-67504,Amsel,122.9,100.8,1,2024-08-11,F
AX-45839,Kohlmeise,75.1,15.8,3,2024-08-11,F
AX-61928,Kohlmeise,74.4,17.6,2,2024-08-11,F
AX-12317,Kohlmeise,76.8,18.6,4,2024-08-11,M
AX-52682,Amsel,121.3,95.6,0,2024-08-11,F
AX-52300,Amsel,126.5,84.9,1,2024-08-11,U
AX-77457,Blaumeise,62.1,11.0,2,2024-08-11,U
AX-63439,Amsel,125.8,104.3,2,2024-08-12,U
AX-45794,Amsel,136.4,89.9,1,2024-08-12,M
AX-99771,Kohlmeise,72.8,20.0,2,2024-08-12,U
AX-32127,Kohlmeise,74.5,18.2,0,2024-08-12,F
AX-34513,Blaumeise,62.9,12.7,5,2024-08-12,U
AX-82191,Amsel,127.4,99.0,1,2024-08-12,U
AX-66230,Kohlmeise,76.1,16.5,5,2024-08-12,M
AX-47868,Kohlmeise,75.6,19.1,1,2024-08-12,M
AX-33678,Kohlmeise,75.2,14.8,0,2024-08-12,U
AX-32648,Amsel,123.3,98.9,2,2024-08-12,M
AX-91973,Amsel,131.7,91.3,4,2024-08-12,M
AX-46419,Amsel,126.2,97.8,2,2024-08-12,F
AX-13028,Amsel,128.9,88.4,2,2024-08-12,M
AX-36957,Blaumeise,61.3,11.3,1,2024-08-13,F
AX-60149,Kohlmeise,72.3,16.3,1,2024-08-13,F
AX-26534,Blaumeise,60.7,9.8,4,2024-08-13,F
AX-22703,Amsel,127.5,103.0,2,2024-08-13,M
AX-31009,Amsel,131.6,90.4,1,2024-08-13,M
AX-19495,Kohlmeise,75.5,17.8,5,2024-08-13,U
AX-57489,Blaumeise,63.1,13.3,3,2024-08-13,U
AX-52017,Blaumeise,61.0,10.5,3,2024-08-13,U
AX-84998,Kohlmeise,76.6,20.2,1,2024-08-13,U
AX-13636,Blaumeise,60.5,11.4,0,2024-08-13,U
AX-70436,Amsel,129.9,92.7,5,2024-08-13,M
AX-51338,Kohlmeise,76.7,17.6,5,2024-08-14,M
AX-86348,Kohlmeise,75.6,16.5,0,2024-08-14,F
AX-96660,Kohlmeise,74.4,15.6,0,2024-08-14,M
AX-65226,Kohlmeise,72.3,20.0,2,2024-08-14,F
AX-14705,Kohlmeise,77.0,18.2,2,2024-08-14,U
AX-12272,Blaumeise,63.1,10.3,1,2024-08-14,M
AX-46523,Blaumeise,58.4,11.9,5,2024-08-14,F
AX-16795,Blaumeise,59.9,10.0,4,2024-08-14,F
AX-11502,Amsel,135.5,113.2,2,2024-08-15,M
AX-15081,Amsel,124.0,99.0,4,2024-08-15,F
AX-95531,Amsel,132.0,90.6,0,2024-08-15,U
AX-72600,Blaumeise,59.9,12.1,2,2024-08-15,U
AX-87637,Kohlmeise,73.8,17.0,3,2024-08-15,U
AX-30577,Kohlmeise,74.2,17.9,4,2024-08-16,F
AX-84673,Blaumeise,60.5,9.6,5,2024-08-16,U
AX-50742,Kohlmeise,74.4,20.8,3,2024-08-16,F
AX-51098,Blaumeise,60.4,11.5,1,2024-08-16,F
AX-32820,Blaumeise,62.6,11.1,4,2024-08-16,M
AX-58587,Blaumeise,61.8,10.0,3,2024-08-16,U
AX-20072,Amsel,129.9,90.3,0,2024-08-16,F
AX-42227,Amsel,127.1,88.5,2,2024-08-16,F
AX-78340,Blaumeise,62.6,11.5,1,2024-08-17,F
AX-44873,Kohlmeise,72.2,18.6,3,2024-08-17,F
AX-77727,Amsel,134.2,95.2,1,2024-08-17,M
AX-53339,Blaumeise,64.2,10.6,2,2024-08-17,M
AX-69548,Kohlmeise,72.9,19.1,5,2024-08-17,U
AX-54534,Kohlmeise,75.1,19.1,3,2024-08-17,U
AX-25359,Amsel,123.9,106.9,5,2024-08-19,M
AX-87581,Kohlmeise,71.8,20.5,3,2024-08-19,F
AX-94156,Amsel,131.9,104.5,1,2024-08-19,F
AX-59263,Amsel,129.4,86.7,4,2024-08-19,M
AX-69955,Kohlmeise,74.2,18.0,3,2024-08-19,U
AX-44215,Amsel,126.6,87.1,4,2024-08-19,F
AX-19824,Blaumeise,63.7,11.8,4,2024-08-19,U
AX-97530,Kohlmeise,78.7,16.6,4,2024-08-19,F
AX-40513,Amsel,134.3,91.2,5,2024-08-19,M
AX-62168,Amsel,132.7,95.7,2,2024-08-19,U
AX-89809,Amsel,127.9,96.1,0,2024-08-19,M
AX-70552,Kohlmeise,75.1,17.8,5,2024-08-19,M
AX-49900,Kohlmeise,74.2,18.4,2,2024-08-19,U
AX-95721,Amsel,126.4,105.8,4,2024-08-19,U
AX-14130,Kohlmeise,69.7,15.6,2,2024-08-19,F
AX-23873,Amsel,129.3,89.7,3,2024-08-19,U
AX-85982,Blaumeise,63.9,11.0,5,2024-08-19,M
AX-16399,Kohlmeise,75.0,16.0,0,2024-08-19,F
AX-17193,Amsel,121.0,98.1,4,2024-08-20,F
AX-78914,Kohlmeise,75.3,18.4,3,2024-08-20,U
AX-80578,Amsel,136.8,92.7,1,2024-08-20,M
AX-74371,Blaumeise,62.3,11.4,4,2024-08-21,U
AX-23966,Amsel,134.1,89.5,3,2024-08-21,F
AX-47951,Amsel,119.6,94.4,4,2024-08-21,F
AX-34618,Blaumeise,59.7,12.1,4,2024-08-21,F
AX-56800,Blaumeise,59.7,11.2,5,2024-08-21,U
AX-27675,Amsel,121.5,95.6,0,2024-08-21,F
AX-24371,Blaumeise,62.7,11.5,5,2024-08-21,U
AX-92229,Blaumeise,63.6,10.6,0,2024-08-21,M
AX-50504,Amsel,123.0,92.6,2,2024-08-21,U
AX-66502,Amsel,123.2,84.3,1,2024-08-21,U
AX-90302,Amsel,125.9,98.2,5,2024-08-21,M
AX-36438,Blaumeise,62.0,11.6,2,2024-08-21,M
AX-76286,Blaumeise,61.9,10.0,3,2024-08-22,M
AX-82636,Kohlmeise,71.9,17.8,1,2024-08-22,F
AX-76087,Blaumeise,62.5,10.8,5,2024-08-22,M
AX-23289,Kohlmeise,76.4,18.5,3,2024-08-22,M
AX-78267,Amsel,119.8,108.3,1,2024-08-22,F
AX-30950,Kohlmeise,72.6,16.1,0,2024-08-22,F
AX-89771,Amsel,129.1,99.2,0,2024-08-22,F
AX-52114,Amsel,130.2,84.5,4,2024-08-23,F
AX-78568,Blaumeise,60.4,10.8,1,2024-08-23,F
AX-89139,Kohlmeise,76.1,17.7,0,2024-08-23,U
AX-63220,Amsel,123.6,98.2,3,2024-08-23,M
AX-92542,Amsel,119.5,84.0,2,2024-08-23,U
AX-16152,Amsel,132.7,94.1,3,2024-08-23,M
AX-20061,Kohlmeise,72.9,18.1,5,2024-08-23,F
AX-22419,Amsel,131.7,94.3,3,2024-08-23,M
AX-84533,Kohlmeise,78.1,17.4,2,2024-08-24,M
AX-51263,Kohlmeise,73.6,16.8,5,2024-08-24,F
AX-86894,Blaumeise,64.0,9.7,1,2024-08-24,M
AX-39012,Kohlmeise,71.1,15.0,5,2024-08-24,F
AX-25774,Blaumeise,62.8,11.2,5,2024-08-24,U
AX-37453,Blaumeise,59.4,9.2,3,2024-08-24,U
AX-71243,Kohlmeise,74.2,18.5,0,2024-08-24,M
AX-83637,Amsel,133.3,84.7,0,2024-08-24,M
AX-89210,Kohlmeise,71.3,15.8,1,2024-08-24,F
AX-95006,Kohlmeise,74.4,17.5,2,2024-08-24,F
AX-30056,Amsel,122.1,113.1,3,2024-08-24,U
AX-18304,Blaumeise,62.1,9.8,5,2024-08-25,U
AX-47577,Blaumeise,63.8,12.2,3,2024-08-25,M
AX-52032,Amsel,127.4,98.3,2,2024-08-25,U
AX-43659,Kohlmeise,75.8,16.4,4,2024-08-25,M
AX-87715,Blaumeise,64.1,11.7,3,2024-08-25,M
AX-75954,Blaumeise,63.1,10.7,0,2024-08-25,M
AX-53977,Blaumeise,60.1,13.2,1,2024-08-25,U
AX-49879,Kohlmeise,72.6,19.4,0,2024-08-25,F
AX-41656,Blaumeise,62.3,11.3,3,2024-08-25,U
AX-58330,Kohlmeise,73.4,17.8,2,2024-08-26,U
AX-11967,Kohlmeise,71.8,18.2,4,2024-08-26,F
AX-37859,Blaumeise,59.9,11.7,1,2024-08-26,F
AX-59084,Kohlmeise,75.2,18.6,2,2024-08-26,M
AX-67387,Kohlmeise,76.7,18.9,1,2024-08-26,U
AX-75750,Blaumeise,64.0,9.9,1,2024-08-26,M
AX-43760,Amsel,120.2,93.5,4,2024-08-26,U
AX-52577,Kohlmeise,79.5,18.6,0,2024-08-26,M
AX-63834,Amsel,129.6,79.4,4,2024-08-27,F
AX-86464,Kohlmeise,77.1,18.1,5,2024-08-27,U
AX-92949,Blaumeise,64.8,11.6,5,2024-08-27,M
AX-28899,Amsel,131.0,105.5,2,2024-08-27,U
AX-34642,Amsel,124.2,106.8,0,2024-08-27,M
AX-12271,Kohlmeise,72.4,17.6,1,2024-08-27,F
AX-34773,Amsel,126.5,90.0,2,2024-08-27,F
AX-16602,Blaumeise,62.0,9.8,2,2024-08-27,M
AX-53072,Kohlmeise,76.8,17.7,5,2024-08-27,M
AX-42778,Amsel,122.1,86.8,2,2024-08-27,U
AX-67172,Amsel,131.1,95.3,4,2024-08-27,M
AX-24873,Amsel,128.1,76.4,5,2024-08-27,F
AX-83691,Kohlmeise,77.3,17.8,4,2024-08-27,U
AX-96877,Amsel,131.0,91.3,5,2024-08-27,U
AX-16372,Blaumeise,61.8,10.3,1,2024-08-28,M
AX-29275,Kohlmeise,77.7,17.5,1,2024-08-28,M
AX-62591,Blaumeise,62.5,11.0,2,2024-08-28,U
AX-68811,Blaumeise,62.9,11.6,3,2024-08-28,F
AX-29427,Blaumeise,63.3,9.0,0,2024-08-28,M
AX-12305,Blaumeise,57.9,11.5,1,2024-08-28,F
AX-38612,Blaumeise,61.8,13.1,0,2024-08-28,F
AX-49739,Amsel,123.7,106.4,1,2024-08-28,M
AX-74118,Kohlmeise,82.1,17.3,3,2024-08-28,M
AX-26542,Amsel,120.3,101.6,3,2024-08-28,F
AX-29537,Blaumeise,62.9,12.2,5,2024-08-28,F
AX-37931,Kohlmeise,74.9,16.3,3,2024-08-28,M
AX-70822,Amsel,125.8,110.2,5,2024-08-28,U
AX-19587,Blaumeise,62.4,10.5,0,2024-08-29,F
AX-34384,Blaumeise,62.2,12.4,1,2024-08-29,M
AX-94491,Amsel,125.9,95.7,1,2024-08-29,M
AX-49074,Kohlmeise,76.2,16.0,4,2024-08-29,U
AX-25205,Amsel,126.6,93.4,4,2024-08-29,U
AX-86600,Blaumeise,58.1,9.7,0,2024-08-29,F
AX-53784,Blaumeise,66.3,12.9,4,2024-09-01,M
AX-80532,Kohlmeise,73.3,15.3,4,2024-09-01,F
AX-62116,Amsel,123.4,85.4,4,2024-09-01,F
AX-83460,Blaumeise,61.4,11.8,0,2024-09-01,F
AX-76340,Kohlmeise,73.3,16.8,2,2024-09-01,F
AX-22874,Amsel,128.8,99.3,3,2024-09-01,F
AX-59588,Amsel,127.2,97.6,4,2024-09-01,U
AX-61162,Amsel,126.7,101.1,3,2024-09-01,M
AX-49004,Blaumeise,64.4,10.2,0,2024-09-01,M
AX-55908,Amsel,126.8,90.7,5,2024-09-01,F
AX-52774,Kohlmeise,69.9,19.7,4,2024-09-01,F
AX-36907,Blaumeise,62.9,9.5,4,2024-09-01,U
AX-87176,Amsel,133.0,102.9,0,2024-09-01,U
AX-63209,Kohlmeise,79.4,19.7,5,2024-09-01,M
AX-87596,Kohlmeise,75.8,16.4,5,2024-09-01,U
AX-32284,Blaumeise,62.7,11.9,1,2024-09-01,M
AX-68704,Kohlmeise,76.4,18.0,3,2024-09-01,M
AX-15488,Kohlmeise,79.4,16.5,5,2024-09-01,M
AX-62667,Kohlmeise,74.6,20.6,1,2024-09-01,F
AX-38674,Kohlmeise,80.1,19.2,0,2024-09-01,M
AX-72145,Blaumeise,61.9,11.8,0,2024-09-01,U
AX-90341,Amsel,132.0,99.1,2,2024-09-01,M
AX-82764,Blaumeise,64.2,11.1,4,2024-09-01,U
AX-98787,Amsel,130.9,83.9,4,2024-09-01,U
AX-79355,Blaumeise,64.7,11.5,2,2024-09-01,M
AX-90200,Blaumeise,60.5,10.7,4,2024-09-01,U
AX-26352,Kohlmeise,75.9,14.6,1,2024-09-01,U
AX-99188,Blaumeise,62.2,11.3,0,2024-09-01,U
AX-76804,Kohlmeise,73.2,18.6,2,2024-09-01,M
AX-46669,Kohlmeise,74.6,18.6,4,2024-09-01,U
AX-59753,Kohlmeise,73.2,17.4,2,2024-09-01,F
AX-66240,Kohlmeise,77.7,17.5,5,2024-09-01,U
AX-47702,Kohlmeise,74.2,15.1,3,2024-09-01,U
AX-36643,Blaumeise,61.8,10.5,3,2024-09-01,F
AX-59978,Amsel,131.0,94.0,5,2024-09-01,U
AX-70515,Kohlmeise,67.5,18.0,3,2024-09-01,F
AX-95120,Blaumeise,62.0,11.3,5,2024-09-02,U
AX-87740,Amsel,125.1,104.2,5,2024-09-02,U
AX-51483,Kohlmeise,75.3,18.8,1,2024-09-02,U
AX-32375,Blaumeise,60.1,10.5,4,2024-09-02,F
AX-61054,Kohlmeise,79.2,18.5,1,2024-09-02,M
AX-13734,Kohlmeise,79.0,18.9,3,2024-09-02,M
AX-77155,Blaumeise,60.2,10.2,2,2024-09-02,F
AX-45676,Kohlmeise,78.9,19.1,5,2024-09-02,M
AX-62421,Amsel,132.1,95.3,0,2024-09-02,U
AX-56059,Amsel,126.1,108.4,4,2024-09-02,M
AX-64947,Blaumeise,62.7,12.0,3,2024-09-02,M
AX-63015,Blaumeise,59.3,12.1,5,2024-09-02,F
AX-80195,Kohlmeise,72.8,18.8,4,2024-09-02,M
AX-34256,Kohlmeise,79.2,16.3,1,2024-09-02,M
AX-35289,Amsel,123.0,103.1,0,2024-09-02,F
AX-31204,Kohlmeise,74.7,19.9,5,2024-09-02,F
AX-63188,Blaumeise,62.9,11.8,0,2024-09-02,U
AX-70065,Blaumeise,63.8,12.2,4,2024-09-02,M
AX-55585,Blaumeise,66.1,12.3,1,2024-09-02,U
AX-96344,Kohlmeise,76.6,18.5,0,2024-09-02,M
AX-74480,Amsel,134.5,88.8,5,2024-09-02,F
AX-62388,Kohlmeise,75.3,17.5,1,2024-09-02,F
AX-35087,Amsel,126.2,108.9,5,2024-09-02,M
AX-82828,Amsel,135.5,102.0,0,2024-09-02,U
AX-87446,Blaumeise,63.4,12.6,2,2024-09-02,M
AX-40728,Blaumeise,65.3,10.2,5,2024-09-02,U
AX-87181,Blaumeise,57.4,11.2,5,2024-09-02,F
AX-17500,Blaumeise,62.6,11.1,2,2024-09-02,M
AX-18976,Kohlmeise,75.9,18.5,5,2024-09-02,U
AX-49447,Amsel,123.9,103.2,2,2024-09-02,U
AX-98714,Kohlmeise,74.3,19.1,4,2024-09-02,M
AX-71847,Amsel,131.0,87.9,5,2024-09-02,M
AX-91414,Amsel,129.6,91.8,0,2024-09-03,M
AX-26454,Kohlmeise,75.6,17.8,3,2024-09-03,U
AX-83190,Amsel,130.0,84.5,4,2024-09-03,U
AX-41659,Amsel,127.5,99.3,0,2024-09-03,F
AX-84720,Amsel,129.4,100.0,5,2024-09-03,F
AX-35588,Kohlmeise,72.7,19.2,1,2024-09-03,F
AX-41837,Amsel,129.8,92.5,1,2024-09-03,U
AX-18667,Amsel,131.1,87.3,5,2024-09-03,F
AX-71466,Amsel,120.7,97.5,1,2024-09-03,U
AX-66386,Blaumeise,63.4,11.2,1,2024-09-03,U
AX-83472,Blaumeise,62.2,11.2,3,2024-09-03,F
AX-31268,Kohlmeise,71.7,19.2,1,2024-09-03,U
AX-60176,Blaumeise,61.9,10.6,3,2024-09-03,M
AX-75472,Blaumeise,62.1,12.2,0,2024-09-03,M
AX-10934,Blaumeise,63.4,10.9,0,2024-09-03,U
AX-74027,Blaumeise,62.2,12.2,1,2024-09-03,M
AX-10086,Kohlmeise,77.5,18.7,3,2024-09-03,M
AX-88687,Amsel,133.3,95.1,4,2024-09-03,M
AX-68518,Blaumeise,59.8,10.7,0,2024-09-03,M
AX-89451,Kohlmeise,79.8,17.8,2,2024-09-03,M
AX-13815,Kohlmeise,73.7,15.9,0,2024-09-03,M
AX-92906,Kohlmeise,74.8,18.9,1,2024-09-03,M
AX-56864,Amsel,127.3,100.4,2,2024-09-03,F
AX-70339,Amsel,128.9,94.4,1,2024-09-03,U
AX-25174,Blaumeise,57.8,10.9,5,2024-09-03,F
AX-40923,Amsel,125.8,96.8,0,2024-09-03,F
AX-97861,Blaumeise,65.3,11.6,3,2024-09-03,M
AX-24103,Blaumeise,62.7,11.2,5,2024-09-03,U
AX-61639,Kohlmeise,73.5,17.2,2,2024-09-04,U
AX-79993,Amsel,131.3,95.5,0,2024-09-04,M
AX-25813,Blaumeise,60.7,11.3,3,2024-09-04,F
AX-94239,Blaumeise,60.2,9.6,0,2024-09-04,F
AX-74300,Kohlmeise,75.2,17.9,2,2024-09-04,F
AX-14899,Blaumeise,60.4,9.9,5,2024-09-04,M
AX-39891,Amsel,127.6,104.7,0,2024-09-04,U
AX-94791,Amsel,132.1,109.5,1,2024-09-04,M
AX-85084,Kohlmeise,74.9,18.0,5,2024-09-04,U
AX-41472,Blaumeise,61.9,10.1,2,2024-09-04,U
AX-39606,Kohlmeise,71.0,17.0,5,2024-09-04,F
AX-93497,Kohlmeise,72.2,19.6,2,2024-09-04,F
AX-22606,Kohlmeise,73.4,18.7,5,2024-09-04,M
AX-59581,Kohlmeise,77.1,15.2,5,2024-09-04,M
AX-94445,Blaumeise,66.4,12.6,2,2024-09-04,M
AX-45291,Kohlmeise,73.7,16.1,3,2024-09-04,U
AX-14530,Kohlmeise,72.3,18.4,3,2024-09-04,F
AX-68119,Kohlmeise,73.0,18.6,2,2024-09-04,F
AX-81785,Kohlmeise,77.7,21.6,0,2024-09-04,M
AX-30421,Amsel,126.0,85.7,4,2024-09-04,F
AX-74063,Blaumeise,60.6,10.9,1,2024-09-04,F
AX-53005,Amsel,118.4,94.4,5,2024-09-04,U
AX-14876,Kohlmeise,76.2,17.7,5,2024-09-04,U
AX-31266,Blaumeise,59.9,10.8,3,2024-09-04,U
AX-28137,Blaumeise,61.7,11.2,0,2024-09-04,U
AX-76240,Blaumeise,61.6,10.7,3,2024-09-04,F
AX-52253,Amsel,125.7,90.4,5,2024-09-04,U
AX-89160,Blaumeise,59.2,11.1,2,2024-09-05,U
AX-42237,Amsel,128.3,99.2,0,2024-09-05,F
AX-74748,Kohlmeise,72.2,19.6,2,2024-09-05,M
AX-49914,Amsel,126.4,104.6,2,2024-09-05,M
AX-14018,Kohlmeise,71.0,17.1,4,2024-09-05,U
AX-69080,Blaumeise,63.8,10.2,5,2024-09-05,M
AX-79473,Kohlmeise,77.6,18.8,5,2024-09-05,U
AX-17653,Amsel,126.0,100.8,2,2024-09-05,U
AX-56673,Kohlmeise,75.3,18.2,2,2024-09-05,M
AX-24713,Kohlmeise,79.2,19.2,2,2024-09-05,M
AX-19652,Kohlmeise,74.1,16.9,2,2024-09-05,U
AX-34431,Kohlmeise,76.0,16.1,5,2024-09-05,U
AX-83504,Amsel,126.8,97.2,3,2024-09-05,U
AX-83283,Kohlmeise,77.5,15.5,3,2024-09-05,U
AX-21422,Kohlmeise,77.2,18.1,2,2024-09-05,U
AX-86637,Blaumeise,57.7,10.5,5,2024-09-05,F
AX-76946,Blaumeise,63.5,11.5,0,2024-09-05,F
AX-97764,Amsel,132.1,90.5,2,2024-09-05,M
AX-26387,Kohlmeise,71.2,16.6,0,2024-09-05,F
AX-87555,Amsel,132.1,104.2,0,2024-09-05,M
AX-96861,Amsel,137.1,95.7,1,2024-09-05,M
AX-62661,Amsel,128.4,98.8,3,2024-09-05,M
AX-26249,Amsel,127.8,105.4,1,2024-09-05,U
AX-80516,Kohlmeise,72.3,17.1,1,2024-09-05,U
AX-29779,Blaumeise,61.7,10.3,3,2024-09-05,U
AX-86844,Amsel,126.1,94.4,4,2024-09-05,M
AX-91791,Kohlmeise,76.4,18.2,5,2024-09-06,U
AX-67539,Amsel,121.2,111.0,2,2024-09-06,F
AX-58598,Blaumeise,63.1,10.8,3,2024-09-06,F
AX-80289,Blaumeise,64.6,13.0,4,2024-09-06,M
AX-23804,Kohlmeise,73.6,14.9,3,2024-09-06,M
AX-62106,Kohlmeise,74.3,17.5,4,2024-09-06,U
AX-54331,Kohlmeise,74.1,19.6,4,2024-09-06,U
AX-95803,Kohlmeise,72.3,18.2,4,2024-09-06,F
AX-29038,Blaumeise,59.3,11.6,5,2024-09-06,U
AX-60629,Amsel,127.7,104.9,1,2024-09-06,U
AX-33643,Kohlmeise,76.8,18.2,4,2024-09-06,U
AX-69156,Blaumeise,64.3,12.6,1,2024-09-06,M
AX-32848,Kohlmeise,74.8,15.6,1,2024-09-06,U
AX-96591,Blaumeise,59.6,11.8,1,2024-09-06,U
AX-81288,Amsel,126.3,105.7,2,2024-09-06,F
AX-77403,Blaumeise,58.4,11.3,1,2024-09-06,F
AX-88972,Kohlmeise,69.9,19.0,4,2024-09-06,F
AX-16471,Amsel,129.9,85.9,1,2024-09-06,F
AX-89122,Amsel,125.7,86.4,4,2024-09-06,F
AX-70407,Kohlmeise,74.1,20.5,0,2024-09-06,F
AX-20181,Blaumeise,60.4,11.1,3,2024-09-06,U
AX-13134,Blaumeise,62.5,8.7,0,2024-09-06,U
AX-40065,Amsel,130.6,97.8,2,2024-09-06,M
AX-75263,Amsel,131.1,98.1,3,2024-09-06,M
AX-32336,Kohlmeise,76.7,17.7,0,2024-09-06,M
AX-38099,Amsel,130.2,91.7,5,2024-09-06,U
AX-92889,Amsel,126.7,81.9,5,2024-09-06,F
AX-17943,Amsel,127.8,97.9,1,2024-09-06,F
AX-60130,Blaumeise,62.7,12.0,0,2024-09-06,M
AX-39071,Amsel,128.0,98.9,0,2024-09-06,M
AX-48818,Kohlmeise,74.4,16.7,3,2024-09-06,F
AX-32962,Blaumeise,61.5,8.8,3,2024-09-06,U
AX-73587,Amsel,128.7,113.2,1,2024-09-06,U
AX-23003,Blaumeise,63.2,9.5,1,2024-09-07,M
AX-25688,Amsel,133.6,97.7,5,2024-09-07,M
AX-98817,Blaumeise,61.4,10.1,1,2024-09-07,F
AX-50560,Kohlmeise,75.9,16.0,2,2024-09-07,U
AX-12731,Amsel,128.0,90.1,4,2024-09-07,F
AX-33108,Kohlmeise,72.6,19.8,3,2024-09-07,U
AX-20876,Amsel,124.8,100.6,0,2024-09-07,M
